date,price,weekly return,volatility,average weekly volatility of past month,average weekly volatility of past quarter,return of past month,return of past half year,return of past year
1961/1/6,621.63,0.933623433,3.620835228,2.44038885,3.133702293,0.00624828,-0.039063225,-0.080047949
1961/1/13,633.64,1.932017438,2.589965092,2.531315112,3.005844015,0.033299631,0.005410723,-0.039459124
1961/1/20,634.36,0.11362919,2.162110978,2.545757096,2.903211235,0.030005845,0.040173154,-0.0177753
1961/1/27,643.58,1.453433382,2.443407529,2.704079707,2.727588394,0.035310394,0.04355299,0.033680795
1961/2/3,652.96,1.457472265,2.315174493,2.377664523,2.547235033,0.030490499,0.062968028,0.041802285
1961/2/10,639.66,-2.036878216,2.771992159,2.42317129,2.60159948,0.008354877,0.02154367,0.028028672
1961/2/17,651.66,1.875996623,3.689460026,2.805008551,2.748906925,0.012554772,0.035597368,0.036948635
1961/2/24,655.59,0.603075223,1.687996808,2.616155871,2.594143015,0.004027812,0.030607433,0.037325949
1961/3/3,671.56,2.435973703,3.584557422,2.933501604,2.583851659,0.049870244,0.074135091,0.101315228
1961/3/10,663.55,-1.19274525,2.91857764,2.970147974,2.641544792,0.018245711,0.08050675,0.095292331
1961/3/17,676.47,1.947102705,3.797754502,2.997221593,2.782662414,0.031849174,0.123387083,0.097435149
1961/3/24,672.47,-0.591304862,2.468697799,3.192396841,2.83754414,0.001355054,0.14914814,0.080342512
1961/3/30,676.62,0.617127902,2.423899951,2.902232473,2.737799533,0.019697084,0.166324789,0.098462587
1961/4/7,683.67,1.041943779,2.364695102,2.763761839,2.719027034,0.010643488,0.165856653,0.088490503
1961/4/14,693.71,1.468544766,2.354937324,2.403057544,2.735095896,0.031585052,0.163025802,0.100934757
1961/4/21,685.25,-1.219529775,3.171354024,2.5787216,2.795758104,0.012754574,0.186497905,0.111859292
1961/4/28,678.7,-0.955855527,2.539219263,2.607551428,2.814428502,-0.007269589,0.174404319,0.127989496
1961/5/5,690.66,1.762192427,3.580374245,2.911471214,2.881793675,-0.00439665,0.158708855,0.13668307
1961/5/12,687.9,-0.399617757,1.925694263,2.804160449,2.734813195,0.003867202,0.130299047,0.116684523
1961/5/19,705.95,2.623927896,3.561564181,2.901712988,2.89094381,0.040150287,0.169546562,0.12910449
1961/5/26,696.27,-1.371201926,4.051278419,3.279727777,2.929837226,0.008122665,0.148088909,0.114442115
1961/6/2,697.69,0.203943872,1.666020366,2.801139307,2.825457453,0.01423172,0.170620805,0.109257993
1961/6/9,700.89,0.458656423,1.949289799,2.807038191,2.671418728,-0.007167646,0.147326033,0.070273489
1961/6/16,685.5,-2.195779652,3.010458132,2.669261679,2.716565422,-0.015468137,0.109636272,0.053189528
1961/6/23,688.65,0.4595186,2.815463166,2.360307866,2.74919569,-0.012957044,0.123006425,0.064374034
1961/6/30,683.95,-0.682494736,1.98939955,2.441152662,2.717921061,-0.02416927,0.110524778,0.066522166
1961/7/7,692.72,1.282257475,2.500182762,2.578875902,2.730024847,0.010532458,0.114360633,0.070830113
1961/7/14,690.94,-0.256958078,4.001616815,2.826665573,2.799213413,0.003325347,0.090429897,0.096329911
1961/7/21,682.8,-1.17810519,2.706457869,2.799414249,2.813149964,-0.001681409,0.076360426,0.11960122
1961/7/28,705.12,3.268892794,4.613356766,3.455403553,2.899231841,0.01790045,0.095621368,0.143338954
1961/8/4,720.68,2.206716587,3.276038121,3.649367393,3.011760495,0.043042811,0.103712325,0.173210914
1961/8/11,722.6,0.266415052,1.887106622,3.120739844,2.872222365,0.058289397,0.129662633,0.153999713
1961/8/18,723.53,0.12870191,2.061998339,2.959624962,2.706449026,0.026109031,0.110287573,0.149810889
1961/8/25,716.69,-0.945365085,2.860973284,2.521529091,2.806028435,-0.005536438,0.093198493,0.126658492
1961/9/1,721.18,0.626491231,2.120861181,2.232734856,2.820326051,-0.001965126,0.073887665,0.153500424
1961/9/8,720.9,-0.038825259,2.384980171,2.357203244,2.768202887,-0.003634956,0.086429056,0.173893928
1961/9/15,716.29,-0.63947843,2.427521154,2.448583948,2.735874386,-0.000558121,0.058864399,0.189514589
1961/9/22,701.56,-2.056429658,2.540870318,2.368558206,2.781830284,-0.027205413,0.043258435,0.19885849
1961/9/29,701.2,-0.051314214,2.465933063,2.454826177,2.778976142,-0.027326952,0.036327629,0.208694603
1961/10/6,708.25,1.005419281,2.994865944,2.60729762,2.695080236,-0.011224504,0.035953018,0.207772719
1961/10/13,703.3,-0.698905754,1.694316978,2.423996576,2.610735162,0.002480187,0.01382422,0.179103727
1961/10/20,705.61,0.328451585,1.677804635,2.208230155,2.366105818,0.006289218,0.029711784,0.221750874
1961/10/27,698.73,-0.975042871,2.111648078,2.119658909,2.269073314,-0.013441581,0.029512303,0.209063695
1961/11/3,709.25,1.505588711,2.318492121,1.950565453,2.305022106,0.008460117,0.026916283,0.18989699
1961/11/10,724.82,2.195276701,2.876277758,2.246055648,2.372878724,0.027224671,0.053670592,0.190962866
1961/11/17,729.52,0.648436853,2.759305759,2.516430929,2.36440643,0.044065662,0.033387634,0.208594954
1961/11/24,732.59,0.420824652,1.850531857,2.451151874,2.341878986,0.032908001,0.052163672,0.207977443
1961/12/1,728.79,-0.518707599,2.798290995,2.571101592,2.376321555,0.005477222,0.044575671,0.222802013
1961/12/8,728.22,-0.078211831,2.113091563,2.380305043,2.350119089,-0.001781994,0.03899328,0.192064038
1961/12/15,729.39,0.160665733,1.949960177,2.177968648,2.300876577,-0.004368064,0.064026258,0.180682131
1961/12/22,720.86,-1.169470379,2.783147562,2.411122574,2.327311119,-0.010881049,0.046772671,0.175532435
1961/12/29,731.13,1.424687179,2.899314707,2.436378502,2.319348516,0.003996045,0.068981651,0.18713061
1962/1/5,714.84,-2.228057938,3.378332171,2.752688654,2.459683115,-0.019948176,0.031932094,0.149944501
1962/1/12,711.73,-0.435062392,2.699904874,2.940174828,2.544858135,-0.012665427,0.030089443,0.123240326
